Step     65 | lr=9.851e-05 | loss=61831.2 | e_loss=614062 | f_loss=0.657681 | f_rmse=0.8110 | pref_e=0.1006 pref_f=99.95 | diff=0.000e+00
Step     66 | lr=9.849e-05 | loss=60241.3 | e_loss=598440 | f_loss=0.417781 | f_rmse=0.6464 | pref_e=0.1006 pref_f=99.95 | diff=0.000e+00
Step     67 | lr=9.847e-05 | loss=60399.9 | e_loss=598729 | f_loss=1.66019 | f_rmse=1.2885 | pref_e=0.1006 pref_f=99.95 | diff=0.000e+00
Step     68 | lr=9.845e-05 | loss=59167.8 | e_loss=583064 | f_loss=5.04882 | f_rmse=2.2470 | pref_e=0.1006 pref_f=99.95 | diff=0.000e+00
Step     69 | lr=9.842e-05 | loss=58973 | e_loss=585238 | f_loss=0.857657 | f_rmse=0.9261 | pref_e=0.1006 pref_f=99.94 | diff=0.000e+00
Step     70 | lr=9.840e-05 | loss=58872.9 | e_loss=584576 | f_loss=0.471166 | f_rmse=0.6864 | pref_e=0.1006 pref_f=99.94 | diff=0.000e+00
Step     71 | lr=9.838e-05 | loss=56469.9 | e_loss=558687 | f_loss=2.44295 | f_rmse=1.5630 | pref_e=0.1006 pref_f=99.94 | diff=0.000e+00
Step     72 | lr=9.836e-05 | loss=58922.9 | e_loss=584606 | f_loss=0.835285 | f_rmse=0.9139 | pref_e=0.1006 pref_f=99.94 | diff=0.000e+00
Step     73 | lr=9.833e-05 | loss=54476.2 | e_loss=539003 | f_loss=2.21909 | f_rmse=1.4897 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     74 | lr=9.831e-05 | loss=54603.1 | e_loss=541869 | f_loss=0.5532 | f_rmse=0.7438 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     75 | lr=9.829e-05 | loss=56425.7 | e_loss=560041 | f_loss=0.435392 | f_rmse=0.6598 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     76 | lr=9.827e-05 | loss=53870.2 | e_loss=534361 | f_loss=0.685829 | f_rmse=0.8281 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     77 | lr=9.824e-05 | loss=49534.4 | e_loss=491285 | f_loss=0.654865 | f_rmse=0.8092 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     78 | lr=9.822e-05 | loss=50865.3 | e_loss=504659 | f_loss=0.451648 | f_rmse=0.6720 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     79 | lr=9.820e-05 | loss=50540 | e_loss=501154 | f_loss=0.683012 | f_rmse=0.8264 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     80 | lr=9.817e-05 | loss=51146.2 | e_loss=507232 | f_loss=0.578652 | f_rmse=0.7607 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     81 | lr=9.815e-05 | loss=47345.6 | e_loss=467253 | f_loss=2.79845 | f_rmse=1.6729 | pref_e=0.1007 pref_f=99.94 | diff=0.000e+00
Step     82 | lr=9.813e-05 | loss=46575.8 | e_loss=461565 | f_loss=0.786409 | f_rmse=0.8868 | pref_e=0.1007 pref_f=99.93 | diff=0.000e+00
Step     83 | lr=9.811e-05 | loss=47957.1 | e_loss=475200 | f_loss=0.821906 | f_rmse=0.9066 | pref_e=0.1007 pref_f=99.93 | diff=0.000e+00
Step     84 | lr=9.808e-05 | loss=46535.6 | e_loss=461313 | f_loss=0.555686 | f_rmse=0.7454 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     85 | lr=9.806e-05 | loss=42661.2 | e_loss=422603 | f_loss=0.776713 | f_rmse=0.8813 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     86 | lr=9.804e-05 | loss=40801.9 | e_loss=403659 | f_loss=1.23668 | f_rmse=1.1121 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     87 | lr=9.802e-05 | loss=41095.9 | e_loss=407005 | f_loss=0.768113 | f_rmse=0.8764 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     88 | lr=9.799e-05 | loss=42173.5 | e_loss=417656 | f_loss=0.771502 | f_rmse=0.8784 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     89 | lr=9.797e-05 | loss=37731.7 | e_loss=373460 | f_loss=0.866635 | f_rmse=0.9309 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     90 | lr=9.795e-05 | loss=38326.2 | e_loss=377486 | f_loss=2.72038 | f_rmse=1.6494 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     91 | lr=9.793e-05 | loss=37568.2 | e_loss=371713 | f_loss=0.925826 | f_rmse=0.9622 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     92 | lr=9.790e-05 | loss=38131.2 | e_loss=377477 | f_loss=0.71062 | f_rmse=0.8430 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     93 | lr=9.788e-05 | loss=34050.5 | e_loss=334808 | f_loss=2.89614 | f_rmse=1.7018 | pref_e=0.1008 pref_f=99.93 | diff=0.000e+00
Step     94 | lr=9.786e-05 | loss=36291.2 | e_loss=358545 | f_loss=1.33406 | f_rmse=1.1550 | pref_e=0.1008 pref_f=99.92 | diff=0.000e+00
Step     95 | lr=9.784e-05 | loss=31777.8 | e_loss=311679 | f_loss=3.43687 | f_rmse=1.8539 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step     96 | lr=9.781e-05 | loss=34904.7 | e_loss=344484 | f_loss=1.58836 | f_rmse=1.2603 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step     97 | lr=9.779e-05 | loss=26405.2 | e_loss=260856 | f_loss=0.919044 | f_rmse=0.9587 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step     98 | lr=9.777e-05 | loss=26409.3 | e_loss=255929 | f_loss=5.91103 | f_rmse=2.4313 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step     99 | lr=9.775e-05 | loss=28523.5 | e_loss=282020 | f_loss=0.702599 | f_rmse=0.8382 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step    100 | lr=9.772e-05 | loss=27231.2 | e_loss=265503 | f_loss=4.42295 | f_rmse=2.1031 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step    101 | lr=9.770e-05 | loss=23843.6 | e_loss=231789 | f_loss=4.54409 | f_rmse=2.1317 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step    102 | lr=9.768e-05 | loss=21674 | e_loss=208847 | f_loss=5.98038 | f_rmse=2.4455 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
